Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
1, 1, Thinnning_Pines, 1011, 197, 6281, 60861.4, 626, 5655, 1, 6, 0, 174, 7, 8, 1, 7065.18, 53053.52, 181.94, 360.06, 0, 95.9, 23.78, 80.55, 0.47, 
1, 1, Clearcut_Slash, 122, 1109, 0, 24165.44, 448, 53, 0, 500, 4, 0, 2, 102, 0, 2444.48, 684.53, 0, 20078.37, 327.6, 0, 1.25, 629.21, 0, 
2, 1, Thinnning_Pines, 1010, 0, 6281, 24024.48, 626, 5655, 0, 0, 0, 0, 0, 0, 0, 2823.63, 21200.85, 0, 0, 0, 0, 0, 0, 0, 
2, 1, Clearcut_Slash, 110, 990, 0, 22669.36, 550, 0, 0, 330, 0, 0, 0, 110, 0, 2258.98, 0, 0, 20285.28, 0, 0, 0, 125.1, 0, 
3, 1, Thinnning_Pines, 1010, 0, 6281, 9586.37, 626, 5655, 0, 0, 0, 0, 0, 0, 0, 1128.05, 8458.32, 0, 0, 0, 0, 0, 0, 0, 
3, 1, Clearcut_Slash, 111, 999, 0, 23080.85, 555, 0, 0, 333, 0, 0, 0, 111, 0, 2303.5, 0, 0, 20649.77, 0, 0, 0, 127.58, 0, 
4, 1, Thinnning_Pines, 1010, 0, 6281, 3815.59, 626, 5655, 0, 0, 0, 0, 0, 0, 0, 448.04, 3367.55, 0, 0, 0, 0, 0, 0, 0, 
4, 1, Clearcut_Slash, 111, 976, 0, 22103.76, 540, 12, 0, 318, 0, 0, 0, 106, 0, 2344.67, 484.9, 0, 19153.64, 0, 0, 0, 120.55, 0, 
5, 1, Thinnning_Pines, 1010, 0, 6279, 1507.94, 626, 5653, 0, 0, 0, 0, 0, 0, 0, 177.34, 1330.6, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Clearcut_Slash, 132, 1181, 0, 27150.66, 616, 61, 3, 381, 0, 1, 0, 119, 0, 2987.92, 938.55, 548.92, 22539.68, 0, 0.42, 0, 135.17, 0, 
6, 1, Thinnning_Pines, 987, 665, 5688, 77568.51, 651, 5037, 1, 1, 70, 266, 63, 158, 106, 7182.03, 67880.65, 0.51, 0.51, 303.99, 133.89, 191.46, 689.61, 1185.86, 
6, 1, Clearcut_Slash, 107, 1040, 0, 15054.84, 311, 99, 0, 423, 5, 0, 24, 129, 49, 3946, 139, 0, 10782.5, 2.55, 0, 11.61, 117.66, 55.52, 
7, 1, Thinnning_Pines, 1026, 13, 6084, 35344.7, 651, 5433, 0, 0, 2, 10, 0, 1, 0, 2870.94, 32467.13, 0, 0, 1.02, 5.1, 0, 0.51, 0, 
7, 1, Clearcut_Slash, 109, 1128, 0, 21064.25, 548, 16, 0, 348, 7, 0, 8, 186, 15, 3035.49, 173.41, 0, 17642, 3.71, 0, 14.93, 180.77, 13.94, 
8, 1, Thinnning_Pines, 1024, 0, 6084, 14112.47, 651, 5433, 0, 0, 0, 0, 0, 0, 0, 1145.39, 12967.08, 0, 0, 0, 0, 0, 0, 0, 
8, 1, Clearcut_Slash, 111, 1093, 0, 20312.99, 538, 22, 0, 344, 1, 0, 2, 186, 0, 2788.33, 798.61, 0, 16569.95, 1.22, 0, 1.64, 153.24, 0, 
9, 1, Thinnning_Pines, 1024, 0, 6084, 5624.4, 651, 5433, 0, 0, 0, 0, 0, 0, 0, 455.88, 5168.52, 0, 0, 0, 0, 0, 0, 0, 
9, 1, Clearcut_Slash, 148, 1575, 0, 29651.06, 723, 151, 0, 455, 2, 2, 0, 242, 0, 3480.66, 3758.47, 0, 22206.47, 2.03, 1.02, 0, 202.41, 0, 
10, 1, Thinnning_Pines, 1024, 0, 6084, 2233.28, 651, 5433, 0, 0, 0, 0, 0, 0, 0, 179.94, 2053.34, 0, 0, 0, 0, 0, 0, 0, 
10, 1, Clearcut_Slash, 287, 2820, 0, 54995.3, 908, 311, 61, 998, 2, 30, 140, 358, 12, 25901.58, 7961.27000000001, 289.74, 19161.59, 27.44, 15.5, 267.5, 1341.92, 28.76, 
11, 1, Thinnning_Pines, 983, 800, 6205, 74084.12, 1047, 5158, 4, 6, 95, 414, 78, 142, 61, 10033.1, 62172.25, 179.02, 30.74, 507.49, 219.92, 135.75, 502.89, 302.96, 
11, 1, Clearcut_Slash, 132, 1516, 0, 26925.13, 685, 88, 0, 434, 5, 15, 0, 282, 7, 5456.07, 1108.81, 0, 20030.7, 2.55, 7.97, 0, 261.38, 57.65, 
12, 1, Thinnning_Pines, 981, 0, 6205, 28860.59, 1047, 5158, 0, 0, 0, 0, 0, 0, 0, 4009.41, 24851.18, 0, 0, 0, 0, 0, 0, 0, 
12, 1, Clearcut_Slash, 163, 1906, 0, 32186.84, 805, 142, 0, 504, 0, 40, 38, 356, 21, 6816.01, 1547.14, 0, 22973.51, 0, 23.36, 99.64, 716.190000000001, 10.99, 
13, 1, Thinnning_Pines, 981, 0, 6205, 11522.38, 1047, 5158, 0, 0, 0, 0, 0, 0, 0, 1599.65, 9922.73, 0, 0, 0, 0, 0, 0, 0, 
13, 1, Clearcut_Slash, 265, 2634, 0, 40693.73, 885, 224, 28, 889, 23, 5, 79, 453, 48, 7995.1, 2819.73, 320.35, 27767.2, 27.56, 3.65, 623.09, 520.14, 616.91, 
14, 1, Thinnning_Pines, 981, 0, 6148, 4582.35, 1047, 5101, 0, 0, 0, 0, 0, 0, 0, 635.68, 3946.67, 0, 0, 0, 0, 0, 0, 0, 
14, 1, Clearcut_Slash, 175, 2015, 0, 36913.69, 821, 227, 0, 521, 18, 46, 3, 371, 8, 7043.27, 7159.28, 0, 22211.1, 10.93, 24.63, 1.54, 345.85, 117.09, 
15, 1, Thinnning_Pines, 981, 0, 5988, 1815.71, 1047, 4941, 0, 0, 0, 0, 0, 0, 0, 250.52, 1565.19, 0, 0, 0, 0, 0, 0, 0, 
15, 1, Clearcut_Slash, 154, 1709, 0, 26316.49, 726, 111, 16, 490, 3, 5, 9, 349, 0, 5780.61, 1565.34, 121.03, 18569, 1.63, 2.75, 4.2, 271.93, 0, 
16, 1, Thinnning_Pines, 1019, 1119, 6962, 78044.14, 473, 6489, 1, 0, 32, 764, 81, 207, 34, 5651.22, 71475.64, 1.15, 0, 17.72, 388.98, 82.55, 389.13, 37.75, 
16, 1, Clearcut_Slash, 141, 2162, 0, 29572.95, 716, 296, 0, 565, 66, 2, 75, 439, 3, 12196.47, 4893, 0, 12094.75, 49, 0.96, 45.97, 291.3, 1.5, 
17, 1, Thinnning_Pines, 1019, 0, 6961, 30825.87, 473, 6488, 0, 0, 0, 0, 0, 0, 0, 2258.8, 28567.07, 0, 0, 0, 0, 0, 0, 0, 
17, 1, Clearcut_Slash, 242, 3193, 0, 45038.46, 1171, 107, 0, 773, 46, 10, 229, 689, 168, 25610.84, 847.21, 0, 16291.62, 86.52, 5.24, 257.97, 954.63, 984.43, 
18, 1, Thinnning_Pines, 1019, 0, 6953, 12306.7, 473, 6480, 0, 0, 0, 0, 0, 0, 0, 901.96, 11404.74, 0, 0, 0, 0, 0, 0, 0, 
18, 1, Clearcut_Slash, 233, 3070, 0, 50000.87, 1337, 139, 0, 711, 192, 0, 81, 610, 0, 20831.56, 2217.93, 0, 26310.12, 138.97, 0, 46.98, 455.31, 0, 
19, 1, Thinnning_Pines, 1017, 0, 6589, 4902.36, 466, 6123, 0, 0, 0, 0, 0, 0, 0, 359.35, 4543.01, 0, 0, 0, 0, 0, 0, 0, 
19, 1, Clearcut_Slash, 202, 2379, 0, 28947.33, 831, 258, 0, 677, 22, 50, 23, 487, 31, 9287.57, 3282.55, 0, 15850.28, 13.85, 40.87, 13.8, 420.74, 37.67, 
20, 1, Thinnning_Pines, 1012, 0, 6148, 1948.57, 444, 5704, 0, 0, 0, 0, 0, 0, 0, 143.16, 1805.41, 0, 0, 0, 0, 0, 0, 0, 
20, 1, Clearcut_Slash, 145, 1990, 0, 33510.47, 646, 67, 0, 398, 178, 0, 58, 595, 48, 7921.53, 876.07, 0, 13607.99, 4484.75, 0, 39.28, 6542.9, 37.95, 
21, 1, Thinnning_Pines, 1001, 1592, 7569, 76568.1, 523, 7046, 0, 0, 54, 1199, 73, 233, 33, 5520.04, 69955.81, 0, 0, 42.77, 613.33, 45.67, 155.14, 235.34, 
22, 1, Thinnning_Pines, 1001, 0, 7556, 30163.1, 522, 7034, 0, 0, 0, 0, 0, 0, 0, 2206.16, 27956.94, 0, 0, 0, 0, 0, 0, 0, 
23, 1, Thinnning_Pines, 1001, 0, 7549, 12040.26, 522, 7027, 0, 0, 0, 0, 0, 0, 0, 880.15, 11160.11, 0, 0, 0, 0, 0, 0, 0, 
24, 1, Thinnning_Pines, 1000, 0, 7148, 4784.01, 520, 6628, 0, 0, 0, 0, 0, 0, 0, 349.94, 4434.07, 0, 0, 0, 0, 0, 0, 0, 
25, 1, Thinnning_Pines, 998, 0, 6654, 1899.86, 492, 6162, 0, 0, 0, 0, 0, 0, 0, 139.24, 1760.62, 0, 0, 0, 0, 0, 0, 0, 
26, 1, Thinnning_Pines, 982, 1071, 7116, 45091.16, 439, 6677, 0, 0, 116, 412, 101, 366, 76, 2000.61, 42239.41, 0, 0, 184.73, 210.24, 71.61, 311.53, 73.03, 
27, 1, Thinnning_Pines, 981, 0, 7111, 17671.97, 438, 6673, 0, 0, 0, 0, 0, 0, 0, 798.46, 16873.51, 0, 0, 0, 0, 0, 0, 0, 
28, 1, Thinnning_Pines, 981, 0, 7093, 7045.59, 435, 6658, 0, 0, 0, 0, 0, 0, 0, 318.11, 6727.48, 0, 0, 0, 0, 0, 0, 0, 
29, 1, Thinnning_Pines, 981, 0, 6225, 2799.8, 427, 5798, 0, 0, 0, 0, 0, 0, 0, 125.82, 2673.98, 0, 0, 0, 0, 0, 0, 0, 
30, 1, Thinnning_Pines, 1013, 13, 5658, 2970.7, 417, 5241, 0, 0, 4, 0, 0, 1, 8, 1444.43, 1518.86, 0, 0, 2.33, 0, 0, 0.51, 4.57, 
31, 1, Thinnning_Pines, 1030, 2245, 8507, 70405.26, 1871, 6636, 16, 0, 162, 747, 145, 976, 199, 17114.08, 50141.04, 200.49, 0, 530.66, 468.73, 105.78, 1266.35, 578.13, 
32, 1, Thinnning_Pines, 1022, 0, 8500, 26871.32, 1871, 6629, 0, 0, 0, 0, 0, 0, 0, 6839, 20032.32, 0, 0, 0, 0, 0, 0, 0, 
33, 1, Thinnning_Pines, 1022, 0, 8481, 10719.09, 1868, 6613, 0, 0, 0, 0, 0, 0, 0, 2729.14, 7989.95, 0, 0, 0, 0, 0, 0, 0, 
34, 1, Thinnning_Pines, 1022, 0, 7892, 4262.79, 1863, 6029, 0, 0, 0, 0, 0, 0, 0, 1085.25, 3177.54, 0, 0, 0, 0, 0, 0, 0, 
35, 1, Thinnning_Pines, 1019, 0, 7470, 1690.52, 1823, 5647, 0, 0, 0, 0, 0, 0, 0, 430.61, 1259.91, 0, 0, 0, 0, 0, 0, 0, 
36, 1, Thinnning_Pines, 993, 3819, 8853, 55463.25, 2848, 6005, 3, 44, 251, 1008, 267, 1776, 470, 16026.94, 34291.16, 1.92, 81.34, 296.27, 617.44, 202.13, 2362.42, 1583.63, 
37, 1, Thinnning_Pines, 993, 0, 8848, 20095.41, 2846, 6002, 0, 0, 0, 0, 0, 0, 0, 6400.7, 13694.71, 0, 0, 0, 0, 0, 0, 0, 
38, 1, Thinnning_Pines, 992, 0, 8835, 8002.22, 2845, 5990, 0, 0, 0, 0, 0, 0, 0, 2549.99, 5452.23, 0, 0, 0, 0, 0, 0, 0, 
39, 1, Thinnning_Pines, 989, 0, 8600, 3177.6, 2830, 5770, 0, 0, 0, 0, 0, 0, 0, 1011.33, 2166.27, 0, 0, 0, 0, 0, 0, 0, 
40, 1, Thinnning_Pines, 989, 0, 8441, 1256.74, 2765, 5676, 0, 0, 0, 0, 0, 0, 0, 398.33, 858.41, 0, 0, 0, 0, 0, 0, 0, 
41, 1, Thinnning_Pines, 1026, 7070, 9588, 71128.79, 3571, 6017, 7, 220, 434, 1883, 455, 3148, 923, 27683.64, 33251.46, 430.68, 498.2, 945.27, 1149.74, 376.09, 4856.82, 1936.89, 
42, 1, Thinnning_Pines, 1023, 0, 9582, 24340.54, 3571, 6011, 0, 0, 0, 0, 0, 0, 0, 11061.76, 13278.78, 0, 0, 0, 0, 0, 0, 0, 
43, 1, Thinnning_Pines, 1023, 0, 9569, 9702.26, 3569, 6000, 0, 0, 0, 0, 0, 0, 0, 4411.42, 5290.84, 0, 0, 0, 0, 0, 0, 0, 
44, 1, Thinnning_Pines, 1023, 0, 9466, 3829.63, 3562, 5904, 0, 0, 0, 0, 0, 0, 0, 1747.28, 2082.35, 0, 0, 0, 0, 0, 0, 0, 
45, 1, Thinnning_Pines, 1023, 0, 9280, 1523.88, 3474, 5806, 0, 0, 0, 0, 0, 0, 0, 692.25, 831.63, 0, 0, 0, 0, 0, 0, 0, 
46, 1, Thinnning_Pines, 999, 3207, 9151, 32614.88, 3489, 5662, 20, 36, 321, 617, 212, 1694, 307, 18292.76, 11481.36, 87.03, 30.74, 356.29, 377.34, 179.54, 1429.52, 380.3, 
47, 1, Thinnning_Pines, 994, 0, 9147, 11872.88, 3489, 5658, 0, 0, 0, 0, 0, 0, 0, 7303.89, 4568.99, 0, 0, 0, 0, 0, 0, 0, 
48, 1, Thinnning_Pines, 989, 0, 9007, 4721.55, 3489, 5518, 0, 0, 0, 0, 0, 0, 0, 2908.1, 1813.45, 0, 0, 0, 0, 0, 0, 0, 
49, 1, Thinnning_Pines, 982, 81, 7719, 3121.25, 3278, 4441, 0, 0, 4, 33, 0, 44, 0, 1457.73, 1620.07, 0, 0, 2.33, 15.41, 0, 25.71, 0, 
50, 1, Thinnning_Pines, 999, 145, 6762, 3691.78, 2680, 4082, 0, 0, 12, 16, 1, 116, 0, 1028.39, 2479.27, 0, 0, 33.35, 15.36, 0.51, 134.9, 0, 
